DriverID,Name,Team,Color,Check,order
815,Perez,Red Bull,#0600EF,FALSE,18
832,Sainz,Ferrari,#DC0000,TRUE,9
852,Yuki,AlphaTauri,#2B4562,TRUE,3
4,Alonso,Alpine,#0090FF,TRUE,5
822,Bottas,Mercedes,#00D2BE,FALSE,16
817,Daniel,McLaren,#FF8700,FALSE,14
842,Gasly,AlphaTauri,#2B4562,FALSE,4
1,Hamilton,Mercedes,#00D2BE,TRUE,15
8,Kimi,Alfa Romeo,#A52A2A,FALSE,2
840,Stroll,Aston Martin,#006F62,FALSE,8
849,Latifi,Williams,#8B008B,TRUE,19
844,Leclerc,Ferrari,#DC0000,FALSE,10
830,Verstappen,Red Bull,#0600EF,TRUE,17
854,Mick,Haas,#8FBC8F,TRUE,11
853,Nikita,Haas,#8FBC8F,FALSE,12
846,Norris,McLaren,#FF8700,TRUE,13
839,Ocon,Alpine,#0090FF,FALSE,6
20,Vettel,Aston Martin,#006F62,TRUE,7
847,George,Williams,#8B008B,FALSE,20
841,Gio,Alfa Romeo,#A52A2A,TRUE,1
9,Kubika,Alfa Romeo,#A52A2A,FALSE,2